Days,RA,AF,AW,AR,LF,LW,LR,CF,CW,CR,RH1,RH2,D,CL,CS,GPP
1,,,,,,,,,,,,,,,,0.425133987
2,,,,0.084877525,,,,,,,,,,,,0.327624899
3,,,,,,,,,,,,,,,,0.411430373
4,,,,,,,,,,,,,,,,0.484028507
5,,,,,,,,,,,,,,,,0.552171206
6,,,,,,,,,,,,,,,,0.38508632
7,,,,,,,,,,,,,,,,0.60711057
8,,,,,,,,,,,,,,,,0.645927052
9,,,,,,,,,,,,,,,,0.309811459
10,0.043113523,,,,,,,57.38911594,,,,,,35.09702801,9743.689412,0.023769334
11,,,,,,,,,,,,,,,,0.118701905
12,,,,,,,,,,,,,,,,0.12324112
13,,,,,,,,,,,,,,,,0.074160889
14,,,,,,,,,,,,,,,,0.649896134
15,,,,,,,,,,,,,,,,0.283627679
16,,,,,,-0.054895077,,,,,,,,,,0.465568823
17,,0.113785246,,,,,,,,,,,,,,0.634787852
18,,,,,,,,,,,,,,,,0.414715998
19,,,,,,,0.257008175,,,,,,,,,0.292556635
20,,,,,,,,,,,,,,,,0.603180018
21,,,0.080954302,,,,,,,,,,,,9745.283949,0.611100461
22,,,,,,,,,,,,,,,,0.572965222
23,,,,,,,,,,,,,,,,0.244718729
24,,,,,0.144296168,,,,,,,,,,,0.086360823
25,,,,,0.152147288,,,,,,,,,,,0.594552918
26,,,,,0.219095012,,,,,,,,,,,0.502459883
27,,,,,0.166562223,,,,,,,,,,,0.634654447
28,,,,,0.143994813,,,,,,,,,,,0.653843785
29,,,,,0.158512149,,,,,,,,,,,0.561622195
30,,,,,0.091957416,,,,,,,,,,,0.206216323
31,,,,0.140805543,0.093593056,,,,,,,,,,,0.617770588
32,,,,,0.148678996,,,,,,,,,,,0.777795903
33,,,,,0.182963006,,,,,,,,,,,0.837055673
34,,,,,0.135650247,,,,,,,,,,,0.321426533
35,,,,,,-0.023230599,,,,,,,,,,0.475271013
36,,,,,,,,54.41212547,,,,,,,,0.29511674
37,,,,,,,,,,,,,,,,0.636816619
38,,,,,,,,,,,,,,,,0.68393634
39,,,,,,,,,,,,,,,,0.643136414
40,,,,,,,,,,,,,,,,0.703373844
41,,,,,,,,,,,0.53765181,0.025270592,0.000342253,25.77475024,9751.939868,0.466444727
42,,,,,,,,,,,,,,,,0.394280746
43,,,,,,,,,,,,,,,,0.464607382
44,,,,,,,,,,,,,,,,0.123813865
45,,,,,,,,,,,,,,,,0.322283987
46,,,,,,,,,,,,,,,,0.503196071
47,,,,,,,,,,,,,,,,0.365300833
48,,,,,,,,,,,,,,,,0.772794026
49,,,,,,,,,,,,,,,,0.859696511
50,,,,,,,,,,,,,,,,0.824386428
51,,,,,,,,,,,,,,,,0.288350703
52,,,,,,,,,,,,,,,,0.678539866
53,,,,,,,,,,,,,,,,0.631711308
54,,,,,,,,,,,,,,,,0.692114855
55,,,,,,,,,,,,,,,,0.716446509
56,,,,,,,,,,,,,,,,0.560267611
57,,,,,,,,,790.0339154,97.90397262,,,,,,0.416429594
58,,,,,,,,,,,,,,,,0.795244576
59,,,,,,,,,,,,,,,,0.59858624
60,,,,,,,,,,,,,,,,0.753263312
61,,,,,,,,,,,,,,,,0.70665139
62,,,,,,,,,,,0.633905994,,,,,0.698610416
63,,,,,,,,,,,,,,,,0.935913864
64,,,,,,,,,,,,,,,,0.637802471
65,,,,,,,,,,,,,,,,0.490573796
66,,,,,,,,,,,,,,,,0.739713649
67,,,,,,,,,,,,,,,,0.700591605
68,,,,,,,,,,,,,,,,0.522278508
69,,,,,,,,,,,,,,,,0.788474933
70,,,,,,,,,,,,,,,,0.825194504
71,,,,,,,,,,,,,,,,0.834218448
72,,,,,,,,,,,,,,,,1.030854288
73,,,,,,,,,,,,,,,,0.96200015
74,,,,,,,,,,,,,,,,0.978678546
75,,,,,,,,,,,,,,,,1.00322588
76,,,,,,,,,,,,,,,,0.963671144
77,,,,,,,,,,,,,,,,0.886748767
78,,,,,,,,,,,,,,,,0.919727951
79,,,,,,,,,,,,,,,,0.669545062
80,,,,,,,,,,,,,,,,1.115928902
81,,,,,,,,,,,,,,,,1.508991921
82,,,,,,,,,,,,,,,,1.184789015
83,,,,,,,0.285039185,,782.0839459,,,,,,,0.954217206
84,,,,,,,,,780.358487,,0.584005507,,,,,1.379584268
85,,,,,,,,53.20190075,780.4445203,,0.6048187,,,,,1.234702434
86,,,,,,,,,,,,,,,,1.532068014
87,,,,,,,,,,,,,,,,0.98869612
88,,,,,,,,,,,,,,,,0.906378773
89,,,,,,,,,,,,,,18.14494962,9783.822343,1.085258625
90,,,,,,,,,,,,,,,,1.272804191
91,,,,,,,,,,,,,,,,1.517780208
92,,,,,,,,,,,,,,,,1.74908396
93,,,,,,,,,,,,,,,,1.806165356
94,,,,,,,,,,,,,,,,1.724381041
95,,,,,,,,,,,,,,,,1.176015795
96,,,,,,,,,,,,,,,,1.208745589
97,,,,,,,,,,,,,,,,0.999267528
98,,,,,,,,,,,,,,,,1.54743697
99,,,,,,,,,,,,,,,,1.31036931
100,,,,,,,,,,,,,,,,1.339625806
101,,,,,,,,,,,,,,,,1.811095375
102,,,,,,,,,,,,,,,,1.772727576
103,,,,,,,,,,,,,,,,1.635393552
104,,,,,,,,,,,,,,,,0.930064488
105,,,,,,,,,,,,,,,,1.254890116
106,,,,,,,,,,,,,,,,1.192333476
107,,,,,,,,,,,,,,,,0.974954464
108,,,,,,,,,,,,,,,,1.313580801
109,,,,,,,,,,,,,,,,1.277771555
110,,,,,,,,,,,,,,,,1.535952326
111,,,,,,,,,,,,,,,,1.460121484
112,,,,,,,,,,,,,,,,1.701380118
113,,,,,,,,,783.4578269,102.1799226,,,,11.95654348,,1.165938977
114,,,,,,,,,784.0843188,102.4553251,,,,,,1.189620667
115,,,,,,0.011665776,,,783.6060024,102.5990433,,,,,,1.269597126
116,,,,,,-0.107866061,,,,,,,,,,1.209745374
117,,,,,,,,,,,,,,,,1.701565652
118,,,,,,,,,,,,0.027316066,,,,1.420955144
119,,,,,,,,,,,,,,,,1.047462591
120,,,,,,,,,,,,,,,,1.680568574
121,,,,,,,,,,,,,,,,1.992285637
122,,,,,,,,,,,,,,,,1.790965242
123,,,,,,,,,,,,,,,,1.908633546
124,,,,,,,,,,,,,,,,1.563158485
125,,,,,,,,,,,,,,,,1.373958205
126,,,,,,,,,,,,,,,,1.455150814
127,,,,,,,,,,,,,,,,1.613748083
128,,,,,,,,,,,,,,,,1.370728485
129,,,,,,,,,,,,,,,,1.281236077
130,,,,,,,,,,,,,,,,1.277970463
131,,,,,,,,,,,,,,,,1.022767146
132,,,,,,,,,,,,,,,,1.106488676
133,,,,,,,,,,,,,,,,1.641042042
134,,,,,,,,,,,,,,,,1.317237447
135,,,,,,,,,,,,,,,,1.69640511
136,,,,,,,,,,,,,,,,2.02758604
137,,,,,,,,,,,,,,,,2.029313967
138,,,,,,,,,,,,,,,,1.726406805
139,,,,,,,,,,,,,,,,2.126035859
140,,,,,,,,,,,,,,,,2.216529766
141,,,,,,,,,,,,,,,,2.495940328
142,,,,,,,,,,,,,,,,2.455730369
143,,,,,,,,,,,,,,,,2.475759655
144,,,,,,,,,,,,,,,,2.076869259
145,,,,,,,,,,,,,,,,2.304998247
146,,,,,,,,,,,,,,,,1.807621703
147,,,,,,,,,,,,,,,,1.87987202
148,,,,,,,,,,,,,,,,1.801783343
149,,,,,,,,,,,,,,,,1.793437636
150,,,,,,,,,,,,,,,,1.726598358
151,,,,,,,,,,,,,,,,1.460676643
152,,,,,,,,,,,,,,,,1.970972881
153,,,,,,,,,,,,,,,,2.151939962
154,,,,,,,,,,,,,,,,2.232849798
155,,,,,,,,,,,,,,,,2.277707663
156,,,,,,,,,,,,,,,,2.432484273
157,,,,,,,,,,,,,,,,2.441909904
158,,,,,,,,,,,,,,,,2.032940834
159,,,,,,,,,,,,,,,,1.94244088
160,,,,,,,,,,,,,,,,1.700717028
161,,,,,,,,,,,,,,,,1.722671047
162,,,,,,,,,,,,,,,,1.720856761
163,,,,,,,,,,,,,,,,1.709210058
164,,,,,,,,,,,,,,,,1.979369068
165,,,,,,,,,,,,,,,,2.386712549
166,,,,,,,,,,,,,,,,2.88259268
167,,,,,,,,,,,,,,,,2.502849545
168,,,,,,,,,,,,,,,,2.381966599
169,,,,,,,,,,,,,,,,2.360409774
170,,,,,,,,,,,,,,,,2.186720159
171,,,,,,,,,,,,,,,,2.498968382
